problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,RHC,"[]",93.0,4860,0.011013966000000002,4871.0
CONTPEAKS,MIMIC,"['100', '50', '0.5']",80.0,1770,12.738305779000001,195700.0
CONTPEAKS,SA,"['0.55']",99.0,4420,0.003039563,4431.0
CONTPEAKS,GA,"['100', '50', '50']",96.0,4280,0.471800326,299176.0
FLIPFLOP,MIMIC,"['100', '50', '0.9']",841.0,2140,1954.13768848,236400.0
FLIPFLOP,GA,"['100', '50', '30']",595.0,2810,0.7055225190000001,177670.0
FLIPFLOP,SA,"['0.55']",789.0,3000,0.008611384,3011.0
FLIPFLOP,RHC,"[]",768.0,2990,0.014710225,3001.0
NN,SA,"['/NN', 'SA', '0.3']",0.71875,1330,0.514979537,0
NN,GA,"['/NN', 'GA', '50', '20', '1']",0.607638888889,3630,36.402095134,0
NN,Backprop,"['/NN', 'Backpro']",0.729166666667,630,0.691696812,0
NN,RHC,"['/NN', 'RH']",0.739583333333,2220,1.3443586680000001,0
TSP,SA,"['0.55']",0.0622286300667,2920,0.0061405460110099995,2931.0
TSP,GA,"['100', '50', '10']",0.123237394792,2630,1.272825776,144851.0
TSP,MIMIC,"['100', '50', '0.1']",0.0383756373318,2850,509.00504625800005,314500.0
TSP,RHC,"[]",0.057707010709100004,2950,0.006810598961239999,2961.0
